Nom;SIRET;Type d'entité;Mode labellisation;Organisme Évaluateur;Chargé de compte;Dernier audit;Dernière mise à jour
SAINT BERNARD;30088211500078;Entreprise;Maître;Ecocert;;Planification - Renouvellement;26 mai 2026
ROSTAIN;59977943800031;Entreprise;Maître;Ecocert;;Planification - Suivi (documentaire);26 mai 2026
RAIFALSA-ALELOR;41452729100036;Entreprise;Maître;Ecocert;;Planification - Suivi (documentaire);26 mai 2026
POULIQUEN;83964261800020;Entreprise;Maître;Ecocert;;Planifié - Renouvellement;26 mai 2026
PARFUMS CORANIA;45103226200029;Entreprise;Maître;Ecocert;;Planification - Suivi (documentaire);26 mai 2026
NOUVELLE FROMAGERIE DE VAUDES;48005729800014;Entreprise;Maître;Ecocert;;Planification - Suivi (physique);26 mai 2026
NINKASI DISTILLERIE;53224105600029;Entreprise;Maître;Ecocert;;Planification - Suivi (physique);26 mai 2026
MAISON SAVARY;84487722500012;Entreprise;Maître;Ecocert;;Planification - Suivi (documentaire);26 mai 2026
Maison GUINOU;42698009000010;Entreprise;Maître;Ecocert;;Terminé - Suivi (physique);26 mai 2026
MACEO GROUPE;35066817400054;Entreprise;Maître;Ecocert;;Planification - Suivi (documentaire);26 mai 2026
LA COMPAGNIE DU BISCUIT;45520300000019;Entreprise;Maître;Ecocert;;Planification - Suivi (physique);26 mai 2026
HYGIENE ET NATURE;01715010300046;Entreprise;Maître;Ecocert;;Planification - Suivi (documentaire);26 mai 2026
ETS PIERRE BOURRE;06820068200018;Entreprise;Maître;Ecocert;;Planification - Renouvellement;26 mai 2026
BRASSERIE LARCHE;48516880100036;Entreprise;Maître;Ecocert;;Terminé - Initial;26 mai 2026
BRASSERIE DE SUTTER;53029122800027;Entreprise;Maître;Ecocert;;En attente de décision FEEF - Initial;26 mai 2026
BISCUITS CANTREAU;54625022600026;Entreprise;Maître;Ecocert;;Terminé - Suivi (physique);26 mai 2026
BISCUITERIE DE LA TOUR D'ALBON;43678021700028;Entreprise;Maître;Ecocert;;Planification - Suivi (physique);26 mai 2026
BIO FERME;41026927800017;Entreprise;Maître;Ecocert;;Planification - Suivi (physique);26 mai 2026
ACCOR LUBRIFIANTS;32866639100013;Entreprise;Maître;Ecocert;;Planification - Initial;26 mai 2026
LE BATISTOU;39428016800011;Entreprise;Maître;Ecocert;;;26 mai 2026
GALILEO SAS;52812654800010;Entreprise;Maître;Ecocert;;Terminé - Initial;26 mai 2026
PHAMED;83267504500021;Entreprise;Maître;Ecocert;;En attente de décision FEEF - Initial;26 mai 2026
MARO OCEANS;34184205200027;Entreprise;Maître;Ecocert;;Planification - Renouvellement;26 mai 2026
LECHEF BRETAGNE INTERNATIONAL (LBI);82038874200018;Entreprise;Maître;Ecocert;;Planification - Suivi (documentaire);26 mai 2026
ZAPHIR / AMALRIC;38020082400072;Entreprise;Maître;Ecocert;;Planification - Renouvellement;26 mai 2026
YOOJI;75371892300026;Entreprise;Maître;Ecocert;;Terminé - Suivi (documentaire);26 mai 2026
VNM;34446504200036;Entreprise;Maître;Ecocert;;Planification - Suivi (documentaire);26 mai 2026
VITAMONT SA;32867805700022;Entreprise;Suiveur;Ecocert;;Planification - Renouvellement;26 mai 2026
VITAGERMINE;77558681100132;Entreprise;Maître;Ecocert;;Planification - Renouvellement;26 mai 2026
VINAIGRERIE GENERALE;40008655900012;Entreprise;Maître;Ecocert;;Planification - Renouvellement;26 mai 2026
VALFLEURI;91552062100052;Entreprise;Maître;Ecocert;;Planification - Renouvellement;26 mai 2026
VAL LEGUMES;38848978300018;Entreprise;Maître;Ecocert;;Planifié - Renouvellement;26 mai 2026
UN AIR D'ICI;43390249100029;Entreprise;Maître;Ecocert;;Planification - Renouvellement;26 mai 2026
ULMANN;58210775100031;Entreprise;Maître;Ecocert;;Planification - Renouvellement;26 mai 2026
TRUFFIERES DE RABASSE;40476584400026;Entreprise;Maître;Ecocert;;Planification - Suivi (documentaire);26 mai 2026
TRADITIONAL WORLD FOOD (TWF);35405912300019;Entreprise;Maître;Ecocert;;Planification - Suivi (documentaire);26 mai 2026
STOEFFLER;91642033400127;Entreprise;Suiveur;Ecocert;;Terminé - Suivi (physique);26 mai 2026
SRDi;44412577700029;Entreprise;Maître;Ecocert;;Planification - Renouvellement;26 mai 2026
