ligne;siret;nom;saison;type_audit;statut_ecocert;probleme;details
1010;;COMPAGNIE DES PATISSIERS;2022;Initial inspection;4-Certification finished;Audit rattaché par nom;"SIRET audit """" → entité « COMPAGNIE DES PATISSIERS » (SIRET base 40119370100026)"
1015;811757640;TERRA CERES;2022;Documentary review;4-Certification finished;SIRET inconnu dans la base FEEF;SIRET Ecocert : 811757640 — SIREN 811757640 absent de la base, nom non rapproché
1020;;FIMCO;2022;Documentary review;4-Certification finished;SIRET manquant;"SIRET brut : """" — nom non rapproché à une entité de la base"
1034;83190498200012;LUCIEN GEORGELIN CEREALES;2022;Annual inspection;4-Certification finished;SIRET inconnu dans la base FEEF;SIRET Ecocert : 83190498200012 — SIREN 831904982 absent de la base, nom non rapproché
1041;57215120700030;SAINTE LUCIE;2022;Documentary review;4-Certification finished;Audit rattaché par SIREN;SIRET audit 57215120700030 → entité « SAINTE LUCIE » (SIRET base 57215120700022)
1043;71850193500024;PAUL HEUMANN;2022;Documentary review;4-Certification finished;SIRET inconnu dans la base FEEF;SIRET Ecocert : 71850193500024 — SIREN 718501935 absent de la base, nom non rapproché
1049;303229504;AGROBIOTHERS LABORATOIRE;2022;Initial inspection;4-Certification finished;Audit rattaché par SIREN;SIRET audit 303229504 → entité « AGROBIOTHERS » (SIRET base 30322950400020)
1050;;GROUPE ROUTHIAU;2022;Annual inspection;4-Certification finished;SIRET manquant;"SIRET brut : """" — nom non rapproché à une entité de la base"
1055;35302694100032;PODER;2022;Documentary review;4-Certification finished;Audit rattaché par SIREN;SIRET audit 35302694100032 → entité « PODER » (SIRET base 35302694100024)
1058;;GROUPE ROUTHIAU;2022;Annual inspection;4-Certification finished;SIRET manquant;"SIRET brut : """" — nom non rapproché à une entité de la base"
1065;;LPA - LES P'TITS AMOUREUX;2022;Documentary review;4-Certification finished;Audit rattaché par nom;"SIRET audit """" → entité « LPA - LES P'TITS AMOUREUX » (SIRET base 41428075000020)"
1068;;LA FRANCO ARGENTINE;2022;Documentary review;4-Certification finished;Audit rattaché par nom;"SIRET audit """" → entité « LA FRANCO ARGENTINE » (SIRET base 35309884100029)"
1069;;TRIPES PAILLARD;2022;Documentary review;4-Certification finished;SIRET manquant;"SIRET brut : """" — nom non rapproché à une entité de la base"
1080;81499482800022;LES GLACIERS PARISIENS (ALPEREL);2022;Documentary review;4-Certification finished;SIRET inconnu dans la base FEEF;SIRET Ecocert : 81499482800022 — SIREN 814994828 absent de la base, nom non rapproché
1082;53273732700017;BRASSERIE DE VEZELAY;2022;Documentary review;4-Certification finished;Audit rattaché par SIREN;SIRET audit 53273732700017 → entité « BRASSERIE DE VEZELAY » (SIRET base 53273732700025)
1088;;CULTURE MIEL;2022;Renewal audit;4-Certification finished;SIRET manquant;"SIRET brut : """" — nom non rapproché à une entité de la base"
