# id_fille,code_Sage_fille,name_fille,date_entered_fille,date_modified_fille,name_commercial_fille,status_fille,type_fille,est_alimentaire,est_non_alimentaire,is_certified_fille,is_group_adherent_fille,adherent_number_fille,siret_fille,deleted_fille,id_mere,code_Sage_mere,name_mere,name_commercial_mere,status_mere,type_mere,is_group_adherent_mere,adherent_number_mere,siret_mere,deleted_mere,is_mother_master
65c4cd32-a71a-11ef-a3eb-005056966fe6,,FOODIZ DELI,20/11/2024,6/8/2025,FOODIZ DELI,ADH,tpe,1,0,1,1,,,0,f5225130-e8dd-11e9-8c8c-fa163eb33c65,,FOODIZ  SOLUTIONS (ex 2B'FRESH !),FOODIZ (ex 2B'FRESH !),ADH,pme,1,,53445511800032,0,1
04708a3a-e8de-11e9-b994-fa163eb33c65,,FOODIZ FRESH ( ex MARCO POLO FOODS S.A.S),7/10/2019,6/8/2025,FOODIZ FRESH,ADH,pme,1,0,1,1,,42152860500072,0,f5225130-e8dd-11e9-8c8c-fa163eb33c65,,FOODIZ  SOLUTIONS (ex 2B'FRESH !),FOODIZ (ex 2B'FRESH !),ADH,pme,1,,53445511800032,0,1
b569d954-a71a-11ef-bc94-005056966fe6,,FOODIZ CUISINE,20/11/2024,6/8/2025,FOODIZ CUISINE,ADH,pme,1,0,1,1,,,0,f5225130-e8dd-11e9-8c8c-fa163eb33c65,,FOODIZ  SOLUTIONS (ex 2B'FRESH !),FOODIZ (ex 2B'FRESH !),ADH,pme,1,,53445511800032,0,1
fbd52552-e8dd-11e9-b59e-fa163eb33c65,,DELOUIS FILS - MOUTARDES ET CONDIMENTS,7/10/2019,26/1/2026,DELOUIS FILS - MOUTARDES ET CONDIMENTS,ADH,pme,1,0,1,1,,30887574900035,0,f98a2d9c-e8dd-11e9-92d8-fa163eb33c65,,CHARBONNEAUX BRABANT,CHARBONNEAUX BRABANT,ADH,eti,1,,33578220700013,0,1
8254596a-b7f2-11eb-8874-fa163eb33c65,,LE MONDE DES CREPES,18/5/2021,12/2/2026,REGIS JEGOU,ADH,pme,1,0,1,1,,49334553200029,0,fb3079a8-e8dd-11e9-ae1f-fa163eb33c65,,CREPERIE JARNOUX,CREPERIE JARNOUX,ADH,pme,1,,38092733500030,0,1
e38bf0ee-ba30-11ec-8f02-fa163eb33c65,,Fromagerie Gaugry,12/4/2022,19/5/2025,Fromagerie Gaugry,ADH,pme,1,0,1,1,,95000399600044,0,ff0211e0-e8dd-11e9-aad0-fa163eb33c65,,FROMAGERIE LINCET,FROMAGERIE LINCET,ADH,pme,1,,95750287000021,0,1
b7c8aa2c-7c30-11f0-ba87-005056966fe6,,COMPAGNIE D'EMBOUTEILLAGE ET DE VINIFICATION - CEV,18/8/2025,5/1/2026,CEV,ADH,pme,1,0,1,1,,,0,ffdfc7f6-e8dd-11e9-99db-fa163eb33c65,,GRANDS VINS SELECTION - GVS,GVS GROUP,ADH,eti,1,,34249639500027,0,1
cdd45d8c-ba34-11ec-b04e-fa163eb33c65,,Fromagerie de Vaudes,12/4/2022,5/1/2026,Fromagerie de Vaudes,ADH,pme,1,0,1,1,,95000399600044,0,ff0211e0-e8dd-11e9-aad0-fa163eb33c65,,FROMAGERIE LINCET,FROMAGERIE LINCET,ADH,pme,1,,95750287000021,0,1
c2d21790-eea2-11ee-9e5a-005056966fe6,,OCCITANE PLATS CUISINES,30/3/2024,6/1/2026,OCCITANE PLATS CUISINES,ADH,pme,1,0,1,1,,,0,01273a0e-e8de-11e9-b278-fa163eb33c65,,JEAN LARNAUDIE,JEAN LARNAUDIE,ADH,eti,1,,41025258900024,0,1
02eaea0c-e8de-11e9-bb2e-fa163eb33c65,,LEA NATURE (GROUPE),7/10/2019,26/1/2026,PHARMACONCEPT COMMUNICATION DEVELOPPEMENT,ADH,eti,1,0,1,1,,40995752900038,0,02e420d2-e8de-11e9-b43f-fa163eb33c65,,LEA COMPAGNIE BIODIVERSITE,LEA COMPAGNIE BIODIVERSITE,ADH,eti,1,,49194589500010,0,1
05cee250-e8de-11e9-a979-fa163eb33c65,,NATURENVIE,7/10/2019,26/1/2026,NATURENVIE,ADH,eti,1,0,1,1,,42153125200029,0,02e420d2-e8de-11e9-b43f-fa163eb33c65,,LEA COMPAGNIE BIODIVERSITE,LEA COMPAGNIE BIODIVERSITE,ADH,eti,1,,49194589500010,0,1
f99caf9e-e8dd-11e9-bc2f-fa163eb33c65,,CHARCUTERIE DU BLAVET,7/10/2019,8/12/2025,CHARCUTERIE DU BLAVET,ADH,pme,1,0,1,1,,42169149400023,0,02fb1292-e8de-11e9-a4a6-fa163eb33c65,,LECHEF PREMIUM,ILURO FINANCES,ADH,eti,1,,48834776600013,0,1
09212f4e-e8de-11e9-b9ec-fa163eb33c65,,SAEM DE RIBEAUVILLE SOURCE CAROLA,7/10/2019,27/1/2026,SAEM DE RIBEAUVILLE SOURCE CAROLA,ADH,tpe,1,0,1,1,,91542023600019,0,037beffc-e8de-11e9-afc3-fa163eb33c65,,LES GRANDES SOURCES DE WATTWILLER,LES GRANDES SOURCES DE WATTWILLER,ADH,eti,1,,38361630700013,0,1
015c0360-e8de-11e9-a0e1-fa163eb33c65,,JUS DE FRUITS D'ALSACE,7/10/2019,5/1/2026,JUS DE FRUITS D'ALSACE,ADH,eti,1,0,1,1,,50133013800014,0,03ee480e-e8de-11e9-b450-fa163eb33c65,,LSDH (LAITERIE DE SAINT-DENIS DE L'HOTEL),LSDH (LAITERIE DE SAINT-DENIS DE L'HOTEL),ADH,eti,1,,8558149400029,0,1
023bdcba-e8de-11e9-8b64-fa163eb33c65,,LABORATOIRES LEA,7/10/2019,26/1/2026,LABORATOIRES LEA,ADH,pme,1,0,1,1,,41511923900028,0,02e420d2-e8de-11e9-b43f-fa163eb33c65,,LEA COMPAGNIE BIODIVERSITE,LEA COMPAGNIE BIODIVERSITE,ADH,eti,1,,49194589500010,0,1
f5f040b8-e8dd-11e9-870e-fa163eb33c65,,ALPHANUTRITION,7/10/2019,26/1/2026,ALPHANUTRITION,ADH,pme,1,0,1,1,,45015773000026,0,02e420d2-e8de-11e9-b43f-fa163eb33c65,,LEA COMPAGNIE BIODIVERSITE,LEA COMPAGNIE BIODIVERSITE,ADH,eti,1,,49194589500010,0,1
0d082388-e8de-11e9-adbf-fa163eb33c65,,VITAMONT SA,7/10/2019,26/1/2026,VITAMONT SA,ADH,pme,1,0,1,1,,32867805700022,0,02e420d2-e8de-11e9-b43f-fa163eb33c65,,LEA COMPAGNIE BIODIVERSITE,LEA COMPAGNIE BIODIVERSITE,ADH,eti,1,,49194589500010,0,1
033a377e-e8de-11e9-92d7-fa163eb33c65,,LES CRUDETTES,7/10/2019,5/1/2026,LES CRUDETTES,ADH,eti,1,0,1,1,,34312758500036,0,03ee480e-e8de-11e9-b450-fa163eb33c65,,LSDH (LAITERIE DE SAINT-DENIS DE L'HOTEL),LSDH (LAITERIE DE SAINT-DENIS DE L'HOTEL),ADH,eti,1,,8558149400029,0,1
f7995cd8-e8dd-11e9-a7be-fa163eb33c65,,BIOVIVER CONSERVERIE,7/10/2019,26/1/2026,BIOVIVER CONSERVERIE,ADH,pme,1,0,1,1,,34989119200024,0,02e420d2-e8de-11e9-b43f-fa163eb33c65,,LEA COMPAGNIE BIODIVERSITE,LEA COMPAGNIE BIODIVERSITE,ADH,eti,1,,49194589500010,0,1
02f04092-e8de-11e9-9d62-fa163eb33c65,,LECHEF TRAITEUR,7/10/2019,8/12/2025,LECHEF TRAITEUR,ADH,pme,1,0,1,1,,80976041600010,0,02fb1292-e8de-11e9-a4a6-fa163eb33c65,,LECHEF PREMIUM,ILURO FINANCES,ADH,eti,1,,48834776600013,0,1
021cf566-e8de-11e9-ba6b-fa163eb33c65,,L'ABEILLE,7/10/2019,5/1/2026,L'ABEILLE,ADH,eti,1,0,1,1,,6220022500019,0,03ee480e-e8de-11e9-b450-fa163eb33c65,,LSDH (LAITERIE DE SAINT-DENIS DE L'HOTEL),LSDH (LAITERIE DE SAINT-DENIS DE L'HOTEL),ADH,eti,1,,8558149400029,0,1
fc4cc760-e8dd-11e9-8ce3-fa163eb33c65,,DISTRINAT,7/10/2019,26/1/2026,DISTRINAT,ADH,eti,1,0,1,1,,39331404200051,0,02e420d2-e8de-11e9-b43f-fa163eb33c65,,LEA COMPAGNIE BIODIVERSITE,LEA COMPAGNIE BIODIVERSITE,ADH,eti,1,,49194589500010,0,1
fea0c1ec-e8dd-11e9-8893-fa163eb33c65,,FRAIS EMINCES,7/10/2019,8/12/2025,FRAIS EMINCES,ADH,pme,1,0,1,1,,43161282900025,0,02fb1292-e8de-11e9-a4a6-fa163eb33c65,,LECHEF PREMIUM,ILURO FINANCES,ADH,eti,1,,48834776600013,0,1
ff18069e-e8dd-11e9-8c01-fa163eb33c65,,FRUITS ET SAVEURS,7/10/2019,5/1/2026,FRUITS ET SAVEURS,ADH,pme,1,0,1,1,,75129661700028,0,03ee480e-e8de-11e9-b450-fa163eb33c65,,LSDH (LAITERIE DE SAINT-DENIS DE L'HOTEL),LSDH (LAITERIE DE SAINT-DENIS DE L'HOTEL),ADH,eti,1,,8558149400029,0,1
0243592c-e8de-11e9-b11b-fa163eb33c65,,LABORATOIRES NATESCIENCE,7/10/2019,26/1/2026,LABORATOIRES NATESCIENCE,ADH,pme,1,0,1,1,,49944852000019,0,02e420d2-e8de-11e9-b43f-fa163eb33c65,,LEA COMPAGNIE BIODIVERSITE,LEA COMPAGNIE BIODIVERSITE,ADH,eti,1,,49194589500010,0,1
fd099a34-e8dd-11e9-a684-fa163eb33c65,,EKIBIO,7/10/2019,26/1/2026,EKIBIO,ADH,eti,1,0,1,1,,34505228600027,0,02e420d2-e8de-11e9-b43f-fa163eb33c65,,LEA COMPAGNIE BIODIVERSITE,LEA COMPAGNIE BIODIVERSITE,ADH,eti,1,,49194589500010,0,1
00086a22-20ba-11ee-a102-fa163e4cbe98,,EAUX MINERALES NATURELLES DE QUEZAC,12/7/2023,6/2/2025,EAUX MINERALES NATURELLES DE QUEZAC,ADH,pme,1,0,1,1,,47946348100033,0,066f9632-e8de-11e9-8f14-fa163eb33c65,,OGEU GROUPE,"OGEU (SEMO, OGEU, BEAUPRE, ST LAMBERT ET PLANCOET)",ADH,eti,1,,48386700800011,0,1
fb42119a-e8dd-11e9-a799-fa163eb33c65,,CROC'FRAIS,7/10/2019,26/1/2026,CROC'FRAIS,ADH,pme,1,0,1,1,,41954485300049,0,0699a62a-e8de-11e9-8699-fa163eb33c65,,OLIVES & CO,"OLIVES &amp, CO",ADH,pme,1,,49837647400002,0,0
